subject,cluster
"The LAST INVITATION for CSCEET2017, Beirut, Lebanon - April 26, 2017",7
Article : Setting up a DBPedia SPARQL mirror with Jena,7
Gold Snapshot of :BaseKB a free download on BitTorrent,7
COUNT(*) with ORDER BY,7
"Open Everything Berlin, Saturday 6th December 2008",7
.Net code cannot read HTTP responses from DBPedia,7
DBpedia in 2011 - Opening up to the community,7
My first SPARQL test,7
Infobox_properties and Influences,7
Corrupted Keys in DBpedia,7
OpenCorporates,7
Feedback for new website and communication grouo,7
ImageExtractor getImageUrl,7
Date of modification,7
deal with large ontology file,7
"Source of VIAF identifiers (and LCCN, )",7
foaf:img and file location,7
What happened to the US cities in ?,7
WikiXMLDB,7
"range of foaf:homepage in DBpedia - document please, not anyURI literals",7
bif:contains and Film,7
"some invalid domain, range, subPropertyOf",7
dbpedia voiD bug?,7
DBpedia Quality Improvement: Please reportbugs!,7
Where is there a SCHEMA DIAGRAM and description of the database that I can access via SQL?,7
Get the number of users who have edited a particular article,7
"Page #'s, Revision #'s and PND?",7
TemplateDB / TemplateAnnotation,7
Instance from dbpedia,7
Contact for Polish,7
DBpedia - how to contribute,7
paragraph detection in extraction_framework,7
All birds are pink,7
SNORQL code/installation,7
UMBEL v 1.00,7
Can not connect to http://dbpedia.org,7
probably incorrect mapping to schema.org from MusicalArtist,7
Status of live.dbpedia,7
"Dumps Available, and Class syntax: underscores vs. camel case",7
Why Infobox_Geopolitical_organization (eg United_Nations) is mapped to Country?,7
Building a Chinese dbpedia SPRQL endpoint,7
Keynote: Larry Masinter (Adobe) at Sepublica,7
cleaning up countries; SPARQL weirdness,7
New user interface for dbpedia.org,7
"Draft paper submission deadline is extended: EISWT-10, Orlando, USA",7
dbpintegrator: add / delete order,7
Announcement: DBpedia Faceted Browser and DBpedia User Script released,7
"Just when you thought it was safe[2000+ countries""]""",7
YASGUI,7
Some fun reports,7
lost in DBpedia: can't find all the cities and states in US,7
decimal and grouping separators doubt,7
Bls: @devs: Please add Indonesian namespace,7
DateTime where Year expected (e.g. Stephen_Fry entry),7
compilation exception,7
Test with DISTINCT and ORDER BY,7
Non-well-formed RDF/XML,7
what areas of knowledge has the best quality and coverage in dbpedia?,7
owl:sameAs values inconsistent with internal resource URIs,7
ordering of multiple values for an object in Virtuoso,7
would like to show show my colleagues DBpedia,7
gone?,7
recipie ingreients,7
Issues Retrieving resource pages on dbpedia.org containing round braces (),7
What's going wrong with the Openlink LOD SPARQL endopoint?,7
Wikimedia Foundation Elections 2009,7
Announcement: Navigational Knowledge Engineering (NKE) and HANNE,7
DBpedia 3.3 - different versions of Geo data description,7
MySociety's MaPit service: provides containing areas for any geotagged UK subject,7
DBpedia returns Turtle but says Content-Type is text/plain,7
'2007-01-01T00:00:00+01:00' is not a valid value for datatype XMLSchema#gYear,7
JENA API ACCESS DBPEDIA,7
alternative name =,7
Q: dbprop:name attribute meaning,7
BBC Things,7
Face-to-Face meeting at ISWC,7
Dbpedia and facets,7
Just when you thought it was safe,7
Double underscore pattern,7
Has DBpedia an internal limit for the SPARQL OFFSET value configured?,7
ImageExtractor config,7
Federated queries in various DBpedia endpoints,7
Weaker coupling please in configuration,7
counting places,7
JSON format,7
topical_concepts is gone,7
ORDER BY and utf8 (accents in portuguese names),7
"Bad Turtle, No Cookie",7
Cluster could not connect to host,7
How to get extended summary,7
Downloads page languages,7
URIs vs. other IDs (Was: New user interface for dbpedia.org),7
Companies,7
Invalid XHTML+RDFa in DBpedia?,7
foaf:page / foaf:primaryTopic in DBpedia,7
Broken Turtle for David Bowie?,7
"Odd entries in instance-types_de.ttl.bz2, instance-types-en-uris_de.ttl.bz2, and instance-types-en-uris_ru.ttl.bz2",7
it.dbpedia.org DNS,7
Dependency on extraction-framework,7
Finding related or similar entities in DBPedia,7
Eclipse and Jena,7
Please describe more files; topical_concepts is not quite correct,7
how can i contribute to dbpedia ???,7
Specifying topics in FOAF?,7
Last Mile: 7th Int. Conf. on Developments in eSystems Engineering (DeSE 2014),7
SKOS:Concept,7
Odp: Odp: probably incorrect mapping to schema.org from MusicalArtist,7
Google Squared,7
inclusion database with dbpedia,7
creating owl:sameAs,7
about dbpedia2:birthPlace,7
Quick Tweak to DBpedia Real-time Edition,7
limit and offset switched at lod endpint?,7
About Giuseppe's message (TellMeFirst APIs available for developers),7
simple LOD browser for a a demo system,7
Escaping of titles,7
Attribution to thumbnail creators,7
Parentheses in PrefixedName,7
can't find Goethe using new faceted browser.,7
not climate related bug in the arctic ocean,7
Broken Pages for German Cities,7
"DBpedia user, who are you?",7
Odd foaf:name values,7
DBpedia-flickr Photo Wrapper,7
NER for Czech (was dbpedia for Czech language),7
dbpedia.org down? (and up and down),7
FYI: What is an ORCID ID?,7
Summary of Association Hour in Leipzig,7
DBpedia to schema.org,7
United_States.rdf,7
Getting started,7
Deadline approaching for Wikimania 2016,7
How do I run the tests?,7
Shock Troopers of the Edit Wars?,7
Announcing the Ontology2 Edition of DBpedia 2015-10,7
Area code madness in DBPedia,7
Setting up dbpedia endpoint,7
"GeoData, specifically: dbpprop:coorDmsProperty",7
connections,7
Problems connecting with Dbpedia Lookup web service.,8
DBpedia Lookup: restricting by class?,8
Filter the results of Lookup,8
DBPedia Lookup - We will fix the problem,8
Dbpedia Lookup Improvements Introduction and Wikipage Link,8
DBpedia Lookup downtime - 6th August,8
DBpedia Lookup Install,8
Filtering results from Dbpedia Lookup.,8
DBPedia Lookup,8
Small patch to dbpedia lookup,8
What exactly mean create Dbpedia lookup index,8
Dbpedia lookup results in diferent languages.,8
Generating DBpedia Lookup index for specific data,8
DBpedia Lookup,8
"Dbpedia lookup results with the word ''Category.""",8
DBpedia Lookup PrefixSearch - Up again,8
Dbpedia Lookup Exact String Matches Don't Appear First In Results,8
DBpedia Lookup PrefixSearch still down,8
"Diffrence between URI, URIref and namespace URI?",9
Connecting 30k tags to URI's,9
"URIs with <"" in them confusing Virtuoso and Jena""",9
URI Corrections!,9
Problems with URI access?,9
'Multilingual' dbpedia URIs 200 OK and URIs,9
uri in french i18n version,9
Category URIs broken,9
dbpedia URI change in retrieved resource files,9
Graph URI - dotNetRDF,9
URIs in 404?,9
200 OK and URIs,9
Proxy Probelms with DBpedia URIs,9
Remaining problem with URI access?,9
dbpedia uri encoding policy: conflating URIrefs and URIs?,9
"semantic in URIs, was:dbpedia-links: Recommendation for predicate rdrel:manifestationOfWork"" ?""",9
Ampersand in dbpedia returned URI breaking Jena code,9
DBPedia - URI for properties & classes,9
how to host URIs?,9
URI lookup,9
Literals written as URIs in the .nt files,9
Ampersand in dbpedia returned URI breakingJena code,9
"Tools, API or Web service to get DBpedia URI of entity from keywords",9
"Botticelli painting : trouble with ( ) in URIs, and more",9
URI encoding scheme for dbpedia.org,9
dbpedia URI not consistent with Wikipedia URI,9
Missing DBpedia URIs?,9
"semantic in URIs, was: dbpedia-links: Recommendation for predicate rdrel:manifestationOfWork"" ?""",9
Semantic Publishing/Nanopublications and DBpedia URIs,9
Work on DBpedia Release 3.9 starting + Mapping Sprint until June 30th,10
"DBpedia 3.8 released, including enlarged Ontology and additional localized Versions",10
DBpedia 3.2 release - Can we get a moremanageable download? One tar file?,10
DBpedia 3.4 released,10
Multilingual properties in the new DBpedia release,10
Announcement: DBpedia 3.1 Release,10
"Clarification AW: DBpedia 3.2 release, including DBpedia Ontology and RDF links to Freebase",10
"I18N Redirects / was: AW: DBpedia 3.7 released, including 15 localized Editions",10
"DBpedia 3.7 released, including 15 localized Editions",10
build error in dbpedia release 3.5.1,10
Next DBpedia release,10
Next DBpedia release ?,10
Error using import.sh for the abstract Extractor,11
"How to use the CategoriesClassesToArticlesExtractor"" extractor""",11
Video: Using the Ontology2 Edition of DBpedia 2016-04,11
Dereferencing URIs using Jena.,11
how to use ConstantMapping,11
Trouble with my use cases,11
Use core 3.9 in sbt with scala 2.10.2,11
how to use two ConditionalMappings?,11
DBpedia Mashup using XQuery,11
How to use mappingBasedExtractor without *.xls files?,11
using localized uri,11
How to best choose and use dbpprops for public use in radial tree layout app,11
setting up dbpedia endpoint- isql use,11
Error message when using the MappingBasedExtractor on Nippon_Broadcasting_System,11
using CombineDateMapping to combine 3 fields,11
Last Mile: The 9th International and Interdisciplinary Conference on Modeling and Using Context (CONTEXT 2015),11
DBpedia 2015?,12
How long is DBpedia going to be down ???,12
Dbpedia for dummies?,12
Odp: Hello DBPedia!,12
"Official"" dbpedia Name?""",12
Sitemap for DBpedia 3.1,12
Dbpedia game,12
Hello DBPedia!,12
Distance in DBpedia,12
Interesting DBpedia mashup: gwannon.com,12
DBPedia freshness,12
DBPedia,12
Comparing two nodes on dbpedia,12
Dbpedia from Protege,12
DBpedia srategy survey,12
dbpedia tutorial,12
Dbpedia growth trends,12
Idiots guide to dbpedia Part II,12
DBpedia and Protege,12
DBPedia: Marcos_Escobedo,12
People in dbpedia,12
TBox Meshup: opengraph meets dbpedia and beyond,12
DBpedia down?,12
DBpedia preview could not be found,12
Uploading dbpedia in Sesame 1.2.6 nativerepositories,12
DBpedia 2015-04,12
DBPedia down?,12
dbpedia liveupdates,12
Bart Simpson chalkboard gags on Dbpedia,12
dbpedia 3.8 in Maven repo,12
DBpedia Live-Updates (changesets),12
Several loose notes to DBpedia staff,12
T-box (DBpedia metamodel),12
videos on dbpedia,12
DbPedia is down,12
Idiots guide to dbpedia,12
Tim O'Reilly on dbpedia,12
Help with Dbpedia Extraction Framework,13
Extraction Framework Use.,13
Extraction framework french tutorial,13
Question about missing dependencies in DBpedia Extraction Framework,13
Name Clash - Error on mvn install of DBpedia Extraction Framework,13
Invitation to contribute to DBpedia by improving the infobox mappings + New Scala-based Extraction Framework,13
Extraction Framework does not work - DBpedia server down?,13
How DBpedia Extraction Framework in Windows 7,13
Question about dbpedia extraction framework,13
Parsing wikipedia XML dump using extraction framework,13
Install error for DBpedia extraction framework,13
DBpedia Extraction Framework - Problem downloading latest dumps,13
Problems running extraction framework,13
SPARQL endpoint on local installation of the DBpedia extraction framework,13
Checking out the DBpedia Extraction Framework,13
Extraction Framework (Questions arised from the mapping marathon),13
Wikipedia extraction framework,13
scala extraction framework for Russian wiki,13
Issues getting extraction framework to run on Windows,13
Integrating RML in the DBpedia extraction framework,13
Extraction framework debugging with IntelliJ IDEA,13
DBpedia Extraction Framework Dutch disambiguation data set,13
Extraction Framework Parallelisation,13
Explore Google Summer of Code Projects,14
Access to Movie-Awards Data for another OpenSource Project,14
Gsoc Project,14
You and your projects at OKCon,14
GSoC project idea,14
Reg: GSoC 2017 Chatbot Project - Project Page,14
How to contribute to the project,14
GSoC 2016 DBpedia and Topic Modelling project announcement,14
GSoC Project Announcement,14
Missing properties (updates) in DBpedia Live,15
RDF Validator puts Freebase and DBpedia Live to the test,15
Query not working any more on DBpedia Live,15
Dbpedia Live latest updates,15
"Running a periodic, automated batch of queries against a live DBpedia",15
Help needed with DBPedia Live mirror setup on Mac OS X,15
Dbpedia live updates has shrunk,15
DBPedia Live - changesets and dumps,15
DBPedia Live Configuration,15
OntologyClass addition and dbpedia live,15
DBpedia Live questions,15
Dbpedia live - latest dump file - how to get one?,15
DBpedia Live End points return different datafor same query,15
DBpedia Live and articles deleted from Wikipedia,15
DBPedia Live Updates?,15
DBpedia Live End points return different data for same query,15
how often is dbpedia live updated,15
DBpedia Live changesets stuck,15
Official DBpedia Live Release,15
DBpedia live: issues with classes and properties,15
DBpedia live updates,15
How does DBpedia live extractor work?,15
DBpedia SPARQL endpoint down!,16
Unstable answers from DBpedia SPARQL endpoint?,16
DBpedia SPARQL error when applying JENA,16
BIND in DBpedia SPARQL endpoint,16
Japanese DBpedia SPARQL endpoit,16
dbpedia SPARQL Endpoint error,16
Problem with DBPedia SPARQL endpoint,16
DBpedia SPARQL endpoint gone down,16
"errors in the page Datasets loaded into the public DBpedia SPARQL Endpoint""""",16
Some italian mappings problems,17
years BC problem,17
Problems with the mappings site,17
Mvn install problems,17
Problem with building extraction-framework on local Ubuntu 12.04LTS,17
Compiling extraction_framework problems,17
problem creating a mapping,17
Out of memory problems on dbpedia,17
Mapping problem for class Film,17
dump problems,17
three problems with sparql-queries,17
Problems counting all the instances of classes and subclasses,17
dump process problem (tables.sql not found),17
Build problem,17
problem creating a mapping - again.,17
Problems with LinkedData access to DBpedia,17
problem with ASK queries at ?,17
problem with query,17
problems with Virtuoso Sesame Provider,17
.bz2 problem,17
problem with file wikipedia_links_ru.nt.bz2,17
Bls: Problem in creating Indonesian Chapter,17
Problem in creating Indonesian Chapter,17
Query problem,17
Problems with config.properties and mapping definitions,17
Problem with the MySQL installation script,17
Problem with wikiPageWikiLink,17
The problem about API of virtuoso JDBC3.0,17
simple query problem,17
Problem for extract data,17
problem with maven-scalatest-plugin,17
problem accessing the DBPedia cluster,17
process dbpedia data,18
Retrieving data,18
"key integrity, data halos"", etc.""",18
dbpedia data on lodview,18
"Lot's of eggs, but where is the chicken? Foundation of a Data ID Unit",18
DBpedia/Linked Data,18
getting graph of data,18
Data quality improvements / SF bug-tracker,18
How Do with deal with the Subjective Matter of Data Quality?,18
Postcode Data,18
nlp data,18
"When it comes to data, 90% is worse than nothing",18
How To Do Deal with the Subjective Issue of Data Quality?,18
SPARQL dbpedia returned data,18
Mapping the DBPedia's citations to existing bibliographical data,18
Querying and connecting data about architecture education,18
Postcode data,18
Take 2: How To Do with deal with the Subjective Matter of Data Quality?,18
dbpedia data exports contain data not found in the endpoint,18
Data Points in Australia coast,18
DBpedia Data Quality Evaluation Campaign,18
Alternate language versions of data,18
Data reconciliation with DBpedia,18
"How is the paper an interface, gateway, to the web of data?",18
Data returned on dbpedia.org/ontology/,18
is there any sort of verification done on the data?,18
DBpedia Data Quality Evaluation Campaign - Results and Winner,18
Version 0.2: Add your links to DBpedia workflow,19
failing link to DBpedia resource containing non-ASCI chars,19
"User contributed data to DBpedia, was: Add your links to DBpedia workflow version",19
Add your links to DBpedia workflow version 0.1 (this is also an RFC),19
"Find in Sindice"" link on DBpedia pages?""",19
sameAs links in DBpedia 3.7 dump,19
Getting amount of links between DBPedia instances (page_links_en.nt),19
Add your links to DBpedia workflow version 0.3 (help wanted),19
Links from DBpedia to Geonames,19
Downloading Links between DBpedia and Wikidata,19
Best practice mapping redirected templates?,20
Redirects resolved in DBpedia 3.8?,20
Mappings for template redirection explanation,20
"dbpedia redirects outside en""?""",20
Mapping and redirected infoboxes,20
resource redirects,20
Redirection,20
"303 redirects oddity for URIs containing :""""",20
dbpprop:redirect dbpedia:About:_URI_scheme,20
Redirects on dbpedia-live include MediaWiki_talk URIs,20
Redirects dataset available,20
No german/i18n redirect files,20
Too many redirects?,20
Redirects Dataset,20
What's wrong with this SPARQL query?,21
variable bindings in SPARQL query,21
Problem with SPARQL query returning 0 results,21
sparql probs,21
Dealing with UTF8 IRIs in HTTP Sparql Queries,21
How to coerce revenue in sparql,21
easy mistakes: using /page URIs in sparql queries,21
Negation in Sparql,21
how to get the <live.dbpedia.org> prefix results for a resource via sparql query?,21
Sparql query vs. web interface,21
RDFEasy: scalable Freebase SPARQL queries in the AWS cloud,21
SPARQL Query following a resource redirect,21
Bug (?) in SPARQL Explorer for sparql,21
problem with SPARQL query,21
Constructing the right SPARQL query,21
help with a sparql query,21
Sparql query for getting parent YAGO categories of more than 1 level,21
Inconsistent results from sparql queries,21
Share your Internationalized SPARQL queries (apache log files),21
SPARQL query with dbpedia-owl:birthDate,21
Inconsistent results from sparql queries (David Spacey),21
SPARQL queries: how to optimize a search by literals?,21
Better dbpedia <-> fbase mappings (alpha test!),22
DBpedia Mappings Statistics,22
Mappings submission failure,22
Dutch mappings,22
SAXParseException when testing DBPedia mappings,22
Mappings (hr),22
Guidelines for Mapping (Questions arised from the mapping marathon),22
BE lang in OntologyClass and mapping statistics,22
Mapping Statistics (Questions arised from the mapping marathon),22
mapping testing for non-English mappings,22
Easiest way to translate mappings?,22
Test Bulgarian mappings,22
"I mapped, now what?",22
Chinese mapping,22
DBpedia mappings,22
how mapping DBpedia,22
Dutch Language mapping?,22
New Mapping Chrome extension,22
Airpedia (was Slovak DBPedia mappings),22
Population density mapping broken,22
A map of DBpedia 2016-04,22
Commons & pictures mapping,22
DBpedia Editor Right,23
Editor rights for dbpedia mappings,23
FW: Editor permissions for dbpedia mappings,23
Become an editor,23
Mapping editor rights,23
DBpedia Mappings: Request for editor rights,23
About editor permissions for mappings.dbpedia,23
Editor rights for mapping,23
Wrong type in RDF & SPARQL view,24
How dbpedia extractor decide the type or class of article?,24
Obvious wrong entity types,24
Fetching types for a large number of concepts,24
Missing Ancient Greek with type Language,24
Resources types,24
type of Bachelor_of_Arts,24
Instance types for languages where it's currently unavailable,24
What is the difference between resources types ?,24
Problems with Italian Ontology Infobox Types,24
How to find the type of a concept?,24
"how to get all ?topic rdf:type dbpedia-owl:ChemicalCompound"" ?""",24
Mapping types,24
Incorrect concept's type,24
president type,24
Why super classes of external ontologies are not included in resources types ?,24
Clarification regarding the instance type files,24
Query based on type,24
Mapping types at the instance level,24
Two fully funded PhD positions on Answering Questions using Web Data,25
Extended deadline for applying PhD positions of WDAqua project,25
"OPEN POSITION: Move to Berlin, work on DBpedia (1 year full-time contract)",25
Several fully funded PhD/postdoc positions in Ontologies/Data Management at TU Dresden,25
Open Positions @ DBpedia,25
Junior Researcher Position / Ph.D. Position in Semantic Web Technologies,25
2 Doctorate and 1 PostDoc position at AKSW / Uni Leipzig,25
filtering Stanford Named Entity Recognizer output spotlight or not,26
Dbpedia Spotlight x Dbpedia Lookup,26
DBpedia Spotlight v0.6 Released (Text Annotation with DBpedia),26
Empty type for DBpedia Spotlight annotation,26
Consultation: DBpedia Spotlight Internationalization,26
GSoC 2013 DBpedia + Spotlight joint proposal (please contribute within the next days),26
DBpedia Spotlight 0.7,26
DBpedia Spotlight v0.5 Released (Text Annotation with DBpedia),26
Reproducing the Spotlight Demo,26
Consultation: DBpedia Spotlight Requirements,26
Free Linked Open Data Webinar on DBpedia Spotlight,26
Dbpedia Spotlight as client.,26
Dbpedia Spotlight indexation: train a linker based on similarity-thresholds,26
Infovore 1.0 released,27
When will be the next release of DBPedia 3.8?,27
Contd. RelFinder - Version 1.0 released,27
Contd: RelFinder - Version 1.0 released,27
DL-Learner 1.0 (Supervised Structured Machine Learning Framework) Released,27
RelFinder - Version 1.0 released,27
StrepHit 1.0 Beta Release,27
French version of dbpedia-live,27
Videogame release dates,27
Content negotiation's response is terse,28
Content Negotiation for DBpedia,28
DBpedia content not valid RDF/XML,28
content negotiation?,28
dbpedia content,28
License of dbpedia content,28
up-to-dateness of DBpedia content,28
Linking content from DBpedia to my content (was: Please Urgent Question Need answer),28
DBpedia content negotiation,28
DBpedia as Tables release,29
Table Extractor project,29
Table Extractor,29
Issue with table mappings,29
Issues about the DBpedia as Tables data,29
DBpedia as Tables 2016-04 release,29
DBpedia as Tables release 2014,29
Getting german labels for large amount of URIs,30
Errors while adding labels and comments to OntologyClass,30
A clear case of a missing label,30
Korean labels,30
getting countries with their labels,30
Russian labels in DBpedia OWL,30
Encoding error in german labels file,30
Errors in rdfs:label values for pages with :,30
Several labels and abstracts for the same article?,30
Label issue for the Paris resource,30
How to extract Slovenian Category labels and skos?,30
Categories without labels in dbpedia 3.2?,30
Missing rdfs:label,30
DBpedia type labels,30
a label issue,30
Some rdfs:labels are missing from articles_labels_pt.nt.,30
Multilingual labels in dbpedia,30
Subjects without labels in the domain of rdf:type,30
Some help with the lookup service.,31
dbpedia lookup service unavailable,31
Using Lookup Service.,31
Service Temporarily Unavailable,31
Problems to run a local mirror of the lookup service.,31
DBpedia Lookup service license,31
dbpedia lookup service,31
DBpedia Lookup Service back online!,31
lookup service refcount oddity,31
"Lookup service results for building""""",31
Dbpedia Lookup Service down,31
Lookup service and wiki categories,31
DBPedia Lookup: Service Temporarily Unavailable,31
"Announcing OpenLink Virtuoso, version 7.2.0!",32
Announcing Virtuoso Open-Source Edition v5.0.12,32
Announcing Virtuoso Open-Source Edition v 6.1.0,32
"Announcing OpenLink Virtuoso Open-Source Edition, Version 7.1.0",32
"Announcing OpenLink Virtuoso, Open-Source Edition, v5.0.7",32
"Announcing Virtuoso Open-Source Edition, Version 6.1.2",32
Announcing OpenLink Virtuoso Open-Source Edition v6.0.0,32
"Virtuoso Open-Source Edition, Version 6.1.1 release",32
"Announcing OpenLink Virtuoso, Open Source Edition, v6.1.4",32
"Announcing OpenLink Virtuoso, Open-Source Edition, v5.0.8",32
Announcing Virtuoso Open-Source Edition v 5.0.13,32
data sets for language versions,33
Data set,33
DBpedia Archive now part of Amazon Public Data Sets,33
which version data set you used?,33
Querying data sets on dbpedia,33
A problem with categories datasets in DB3.8,34
Dataset containing article names present in a dbpedia category,34
Querying datasets,34
Is yago2class dataset for download a reduced dataset£¿,34
Pagelinks dataset,34
Split the articles dataset,34
Core Datasets in other languages,34
Evaluation on automatic domain/topic identification on Linked Open Datasets - Please Particpate,34
Lexicalizations Dataset,34
Confusion about DBpedia international datasets and chapters,34
LDIF: A tool to process DBpedia dumps (blatant advertising),35
DBpedia 3.8 dump files,35
DBpedia 3.7 dumps .nt file encoding issues,35
Warnings from DBpedia 3.0 N-Triples file.,35
Old DBpedia dumps and names across versions,35
dump file naming conventions and formats,35
DBPedia dump - Categories (Skos) - other languages ?,35
Wikipedia dump for the 2015-04 dbpedia dumps,35
Wikipedia dump corresponding to DBpedia 3.7,35
infobox_properties_en.nt file of DBPedia 3.8,35
Frequency of processing Wikipedia data dumps,35
difference between dump files,35
