subject	message
"DBPedia Server RAM"	"uHi, What is amount of RAM on which DBPedia Server is running? Thanks, Yashpal Hi, What is amount of RAM on which DBPedia Server is running? Thanks, Yashpal uDo you mean the server at On Apr 8, 2013 1:18 PM, \"Yashpal Pant\" < > wrote: uI mean: From: Jona Christopher Sahnwaldt < > To: Yashpal Pant < > Cc: dbpedia-discussion < > Sent: Monday, April 8, 2013 6:17 PM Subject: Re: [Dbpedia-discussion] DBPedia Server RAM Do you mean the server at On Apr 8, 2013 1:18 PM, \"Yashpal Pant\" < > wrote: Hi, u0 *H÷  010 +"
"DBpedia in 2011 - Opening up to the community"	"uDear all, DBpedia has become quite a famous project, but there is one thing that is still missing. The Time's Person of the Year 2006: *You* DBpedia has limitless use cases and possibilities for extension: - more languages, more wikis (Wikibooks, Wiktionary), more ontologies, more & better data ! In the last years, it was always my impression that the DBpedia team, although we really worked hard and tried our best, limited, in a way, the advance and improvement of the project. So now in 2011 we will of course continue doing, what we are already doing, but in addition we will hand over some possibilities and access to the DBpedia Community. Some things that already happened: - There is a Wiki for editing the mappings: - You can register at the main DBpedia page update pages such as - A DBpedia Internationalization Committee was founded: Now we will soon go one step further: 1. A new mailing list has been created[1] called dbpedia-developers (it is public now). It is for those of you that really want to or ALREADY work on the scala framework to discuss code and other things. This will go along with the addition of more developers from the community to the Sourceforge project. For this reason we will switch to Mercurial [2] soon (around January 17th) and then give access to new developers. Mercurial is a distributed system and it is much easier to handle branches. Developers can test new extractors and new features in a branch and once it is stable we will merge it into the trunk. 2. We integrated Stack and Semantic Overflow on the site to help people get help: A lot of community members were using it already. 3. There are two more pages I'd like to mention: Committee: 4. There is a mailing list for the Wiktionary conversion; the dump will come out some time this year, I guess: The question we still have is: What other infrastructure shall we - the maintainers - provide for the community, so the project can blossom: Now we have 2 Wikis, 2 Mailing lists, 2 StackOverflows and soon 1 Mercurial Repository the community can access Anything else? Sebastian Hellmann On behalf of the DBpedia Team [1] [2] http://mercurial.selenic.com/ uOn 1/12/11 12:39 PM, Sebastian Hellmann wrote: u"
"Lookup not working"	"uIs lookup down? When I submit this request: I get back an empty ArrayOfResult. This has been working recently. Just spotted the problem today. I've also posted this: func=detail&aid;=3572718&group;_id=190976&atid;=935521 Rob uHi Rob, There is no class called \"Tom\", therefore the system returns an empty result set. This is the correct behavior. See the \"caution\" notice at Anyway I have restarted the service. Please check if it is ok for you. We are in the process of moving all DBpedia services hosted at the Free University of Berlin. We are trying our best to avoid disruption in service provision, but please be advised that the likelihood of problems will be higher in the next week or so. Cheers, Pablo On Fri, Sep 28, 2012 at 1:25 PM, Rob Nichols < > wrote:"
"Spaql endpoint and post method"	"uHi, I want to query information using sparql endpoint in a php script. I could only use get method to submit my query. I want to use larger queries to submit using post method. I tried something with curl extension but always got invalid request error. Anyone did this before? Can you help me? here what i tried before: $ch = curl_init(\" curl_setopt($ch, CURLOPT_POST ,1); curl_setopt($ch, CURLOPT_POSTFIELDS ,'default-graph-uri=http%3A%2F%2Fdbpedia.org&should-sponge;=&query;='.urlencode($sparql_query).'&format;=text%2Fxmll&debug;=on'); $sonuc = curl_exec($ch); Thanks in advance. Ahmet uHello, Ahmet YILDIRIM wrote: Assuming $url is the URL you want (you can test it on the command line, include the default graph $headers = array(\"Content-Type: \".$this->contentType); $c = curl_init(); curl_setopt($c, CURLOPT_RETURNTRANSFER, 1); curl_setopt($c, CURLOPT_URL, $url); curl_setopt($c, CURLOPT_HTTPHEADER, $headers); $contents = curl_exec($c); curl_close($c); $contentType can be \"application/sparql-results+xml\", \"application/sparql-results+json\", \"text/rdf+n3\" etc. depending on what you need. The result of your query is in $contents. Kind regards, Jens uHello, Jens Lehmann schrieb: > Hello, > > $headers = array(\"Content-Type: \".$this->contentType); > $c = curl_init(); > curl_setopt($c, CURLOPT_RETURNTRANSFER, 1); > curl_setopt($c, CURLOPT_URL, $url); > curl_setopt($c, CURLOPT_HTTPHEADER, $headers); > $contents = curl_exec($c); > curl_close($c); Here is the corresponding POST code: $c = curl_init(); $headers = array(\"Accept: application/sparql-results+JSON\"); curl_setopt($c, CURLOPT_RETURNTRANSFER, true); curl_setopt($c, CURLOPT_URL, \" curl_setopt($c, CURLOPT_HTTPHEADER, $headers); curl_setopt($c, CURLOPT_POST, true); curl_setopt($c, CURLOPT_POSTFIELDS, \"query=$query\"); $contents = curl_exec($c); echo curl_error($c); curl_close($c); Kind regards, Jens uThank you for answering my question. When I apply the code below: $sparql_query=\" SELECT ?label WHERE { ?label ?a ?b} \"; $c = curl_init(); $headers = array(\"Accept: application/sparql-results+html\"); curl_setopt($c, CURLOPT_RETURNTRANSFER, true); curl_setopt($c, CURLOPT_URL, \" curl_setopt($c, CURLOPT_HTTPHEADER, $headers); curl_setopt($c, CURLOPT_POST, true); curl_setopt($c, CURLOPT_POSTFIELDS, \"query=\".urlencode($sparql_query)); $result = curl_exec($c); echo curl_error($c); curl_close($c); echo $result; I get the results as expected. However, when I change sparql_query line with below: $sparql_query=\"SELECT ?label WHERE { { ?a < } UNION { ?a < . } UNION { ?a < } UNION { ?a < http://dbpedia.org/resource/Capital> . } UNION { < http://dbpedia.org/property/turkey> ?a . } UNION { ?a < http://dbpedia.org/property/capital> . } UNION { < http://dbpedia.org/property/turkey> ?a . } UNION { < http://dbpedia.org/property/capital> ?a . } UNION { ?a < http://dbpedia.org/resource/Capital> . } UNION { ?a < http://dbpedia.org/resource/Turkey> . } UNION { < http://dbpedia.org/resource/Capital> ?a . } UNION { ?a < http://dbpedia.org/property/turkey> . } UNION { < http://dbpedia.org/resource/Capital> ?a . } UNION { < http://dbpedia.org/property/turkey> ?a . } UNION { ?a < http://dbpedia.org/property/capital> . } UNION { ?a < http://dbpedia.org/resource/Turkey> . } UNION { < http://dbpedia.org/property/capital> ?a . } UNION { ?a < http://dbpedia.org/property/turkey> . } UNION { < http://dbpedia.org/property/capital> ?a . } UNION { < http://dbpedia.org/property/turkey> ?a . } . ?a rdfs:label ?label . FILTER (LANG(?label) = 'en')}\"; I get: *ERROR The requested URL could not be retrieved While trying to process the request: POST /sparql HTTP/1.1 Host: dbpedia.org Accept: application/sparql-results+html Content-Length: 3129 Content-Type: application/x-www-form-urlencoded Expect: 100-continue The following error was encountered: * Invalid Request Some aspect of the HTTP Request is invalid. Possible problems: * Missing or unknown request method * Missing URL * Missing HTTP Identifier (HTTP/1.0) * Request is too large * Content-Length missing for POST or PUT requests * Illegal character in hostname; underscores are not allowed Your cache administrator is * Where am i doing wrong? Thanks in advance again. Ahmet On Tue, Mar 31, 2009 at 5:28 PM, Jens Lehmann < > wrote: uHello, Ahmet YILDIRIM wrote: [] Did you try to fix all the issues reported by Virtuoso above (by setting further curl parameters)? Kind regards, Jens uWhat are those parameters? I don't know. when I set the sparql_query length to 633(in utf8 encoding) and ecode it with urlencode and use curl to post it, it works. Longer queries doesn't work. Can the problem be because of another reason rather than query length? On Tue, Mar 31, 2009 at 8:40 PM, Jens Lehmann < > wrote: uHi Ahmet, Taking the sample query and code you provide I have been able to see the error being reported by the PHP client. Having turned on internal debugging on the Virtuoso server hosting DBpedia I do not see the query hitting the server so I assume the problem is in the PHP client. So as Jens suggest you probably should look at the params that can be passed to the PHP curl client based on the possible causes reported to see if the query can be made to run. I shall do some reading myself to see if I can get it to work with my PHP client (which is a Virtuoso Server with PHP runtime hosting support by the way :-)) Best Regards Hugh Williams Professional Services OpenLink Software Web: Support: Forums: On 31 Mar 2009, at 16:24, Ahmet YILDIRIM wrote: uHello, Ahmet YILDIRIM wrote: I just made a couple of tests with the content-length by simply replacing ?a by ?aaain your query. The result is that the POST method works up to a content-length of 1024 (explicitly specifying the content-length in the header did not help) and the GET method works up to a URL length of 4092. Kind regards, Jens uI would expect POST method be larger than GET method. Why isn't it? Anyway is there a way to increase the post size? I want to submit really large queries which take just a few seconds to answer(Not intensive queries.) On Wed, Apr 1, 2009 at 9:25 AM, Jens Lehmann < > wrote:"
"failing link to DBpedia resource containing non-ASCI chars"	"uHi, I have a local triplestore (VOS7) containing links to DBpedia Dutch (nl.dbpedia.org). Some of the URI's in DBpedia contain non ASCII characters, like which are presented as such in SPARQL results. But when used in a federated query on my local store including Virtuoso RDFZZ Error DB.DBA.SPARQL_REXEC(' ) returned Content-Type 'text/plain' status 'HTTP/1.1 400 Bad Request ' Virtuoso 37000 Error SP030: SPARQL compiler, line 0: Bad character '\' (0x5c) in SPARQL expression at '\' SPARQL query: define sql:big-data-const 0 define output:format \"HTTP+XML application/sparql-results+xml\" define output:dict-format \"HTTP+TTL text/rdf+n3\" SELECT ?abstract WHERE { ?abstract . } SPARQL query: define sql:big-data-const 0 #output-format:text/html define sql:signal-void-variables 1 SELECT * { SERVICE { ?s owl:sameAs ?dbp . } SERVICE { ?dbp dbpo:abstract ?abstract. } } Any advice on how to handle these non-ASCII chars in DBpedia URI's would greatly appreciated. Thanks, Roland uHi Roland, It looks to me like you imported the IRI dumps of the Dutch DBpedia and try to query using URIs. version, encoded in ASCII, of the IRI. In order for your queries to work you need to use IRIs. Cheers, Alexandru Alexandru-Aurelian Todor Freie Universität Berlin Department of Mathematics and Computer Science Institute of Computer Science AG Corporate Semantic Web Königin-Luise-Str. 24/26, room 116 14195 Berlin Germany On 02/10/2014 09:03 PM, Roland Cornelissen wrote:"
"Out of memory problems on dbpedia"	"uHi - I have this problem with a CONSTRUCT query that I get out of memory errors on and I don't really understand how and I was wondering if some of you could help me understand why. The reason I don't understand it is that the query works up until I add a new triple to the query. What I mean is that it works if you remove the line `dbpedia-owl:abstract ?abstract.` (and replace the previous `;` with `.`). How I see it the query should be able to run and return a result, especially since a more general query does. Perhaps I just don't understand the execution sequence of a sparql-query and that is the problem I am having? Regards, Bjarte Johansen"
"Sparql endpoint: Virtuoso 42000 Error SQ200"	"uHi, sometimes when I execute queries the sparql endpoint returns this error: Virtuoso 42000 Error SQ200: The memory pool size 80019456 reached the limit 80000000 bytes, try to increase the MaxMemPoolSize ini setting. SPARQL query: define sql:big-data-const 0 #output-format:text/html define sql:signal-void-variables 1 define input:default-graph-uri PREFIX : PREFIX dbp: PREFIX rdf: PREFIX rdfs: PREFIX wgs: PREFIX xsd: SELECT DISTINCT ?label ?sub ?date ?place ?lat ?lon WHERE { ?sub rdf:type dbp:Film; rdfs:label ?label; ?pred_place ?place; dbp:releaseDate ?date; dbp:country ?place. ?place rdf:type ?class ; wgs:lat ?lat ; wgs:long ?lon. ?class rdfs:subClassOf* dbp:PopulatedPlace . FILTER ( ?date >= '1940-01-01'^^xsd:date && ?date <= \"1944-01-01\"^^xsd:date ) FILTER ( ?lat >= \"36.650829\"^^xsd:float && ?lat <= \"47.090542\"^^xsd:float && ?lon <= \"18.51083\"^^xsd:float && ?lon >= \"6.620172\"^^xsd:float ) FILTER ( langMatches(lang(?label), \"EN\")) } ORDER BY ASC(?date) the strange thing is that the error is returned only for specific ontology category. For example \"Film\" in the above query but also \"Book\" and \"Single\". Someone has already fix this problem? Maybe writing the query in a more efficient way? Thanks in advance Fabio Hi, sometimes when I execute queries the sparql endpoint returns this error: Virtuoso 42000 Error SQ200: The memory pool size 80019456 reached the limit 80000000 bytes, try to increase the MaxMemPoolSize ini setting. SPARQL query: define sql:big-data-const 0 #output-format:text/html define sql:signal-void-variables 1 define input:default-graph-uri < PREFIX dbp: < PREFIX rdf: < PREFIX rdfs: < PREFIX wgs: < PREFIX xsd: < SELECT DISTINCT ?label ?sub ?date ?place ?lat ?lon WHERE { ?sub rdf:type dbp:Film; rdfs:label ?label; ?pred_place ?place; dbp:releaseDate ?date; dbp:country ?place. ?place rdf:type ?class ; wgs:lat ?lat ; wgs:long ?lon. ?class rdfs:subClassOf* dbp:PopulatedPlace . FILTER ( ?date >= '1940-01-01'^^xsd:date && ?date <= \"1944-01-01\"^^xsd:date ) FILTER ( ?lat >= \"36.650829\"^^xsd:float && ?lat <= \"47.090542\"^^xsd:float && ?lon <= \"18.51083\"^^xsd:float && ?lon >= \"6.620172\"^^xsd:float ) FILTER ( langMatches(lang(?label), \"EN\")) } ORDER BY ASC(?date) the strange thing is that the error is returned only for specific ontology category. For example \"Film\" in the above query but also \"Book\" and \"Single\". Someone has already fix this problem? Maybe writing the query in a more efficient way? Thanks in advance Fabio"
"Person dataset from SPARQL endpoint beyond 10K"	"uHello everyone, I am trying to download triples from SPARQL endpoint specific to Person category but hit a limit of 10K triples. I also tried to download the Person dataset that are made publicly available but it seems to have relatively fewer predicates compared to the endpoint. How can I get access to all triples present for DBpedia Person category ? Ankur. Hello everyone, Â  Â  I am trying to download triples from SPARQL endpoint specific to Person category but hit a limit of 10K triples. I also tried to download the Person dataset that are made publicly available but it seems to have relatively fewer predicates compared to the endpoint. How can I get access to all triples present for DBpedia Person category ? Ankur. uThere are quite a few methods. (1) You can download more RDF files to get a more complete data set (2) To pick out references to people you can first of all scan the types to make a list of people, then you can filter for triples where a member of that list is in either the ?s or ?o position"
"Disambiguation links dump"	"uHi, which of the DBpedia dumps contains the disambiguation links (i.e. dbo:wikiPageDisambiguates)? The downloads page ( \"Dataset Descriptions\" about \"Disambiguation links\" ( the corresponding download. Are the disambiguation links available separately or as a part of another dump? - JindÅich uHello Jindrich, the download-page has been revamped for the upcoming release, containing all datasets in one table. The old Dl pages will be replaced at least for the 2015-04 release as well. For now please find the disambiguations directly on the server: Best, Markus PS.: not sure why disambiguations are not listed on the old Dl page On Thu, Feb 18, 2016 at 11:48 AM, JindÅich Mynarz < > wrote:"
"Apple Disambiguation"	"uHi, I'm comparing the 3.3 and 3.4 dumps and in particular looking at the disambiguations file. A good example/test I normally use is the concept 'Apple' and how it can be disambiguated into Apple Computers/Apple Records or the fruit with the same name. In the 3.3 release we saw : . . . . . . . . . . . . . . . . In the 3.4 release there are no disambiguations for I'm unsure if this means we now have a separate disambiguation page as of the 3.4 release but when the last extraction run was done (in 3.3) there wasn't a disambiguation page, or if the disambiguation page has changed in some way that breaks the disambiguation extraction code ? Does anyone know what the problem/cause is here ? Cheers, Rob uYes, there are disambiguation pages. Formerly data looked like this: :Apple a :FloweringPlant :Apple :kingdom :Plant :Apple :disambiguates :Apple_Inc. There were even worse cases. e.g. Braniff_(Disambiguation) was made to Braniff, which was a redirect to Braniff_International_Airways There is no correct algortihmic approach to solve this matter, so the reason, why we changed it, is that it reflects the pages on Wikipedia as they are, without any transformations, that might lead to a strange representation. If Apple is a FloweringPlant, how can it disambiguate Apple Inc.? The concepts have nothing to with each other, except sharing the String identifier. Regards, Sebastian Rob Lee schrieb: uSebastian Hellmann wrote: I can see the logic and agree with it (I think), but I can't see any evidence of the change in the changelog for 3.4 (have I just missed it ?) It's quite a big change to have made (the disambiguation dataset has nearly doubled in size between 3.3 and 3.4) - was there any discussion on the mailing list as to the best implementation (for example, it might be nice to add a reference to the disambiguation page - 'disambiguated by' or similar) ? Is there any benefit in setting up a dbpedia-developers list, in order to discuss these changes to the core data ? Rob uRob Lee schrieb: The disambiguation issue was considered a bug and therefore just fixed. Especially, with the upcoming live extraction, DBpedia clearly needs to reflect Wikipedia on a page level. A dbpedia-developers list is something, which is on our todo list, but it should not be another mailing list. Currently, our developers are busy. One thing is the live extraction, the other thing is the complete refactoring of the extraction framework in java/scala. Code fluctuation is so high, that a developers list would be not effective. However, I understand the concern, you have. There should be more public influence and we are working on that. Part of it comes bundled with the live extraction and also, once we have a steady code base, there should be appropriate places to discuss changes and enhancements properly. Also the vocabulary used should reflect consensus. As a preview, you can have a look here: Regards, Sebastian uSebastian Hellmann wrote: Hmm, I'm not sure I agree on that, I don't think live extraction should be driving the way data is represented in dbpedia. Live extraction should be a technological solution to a problem, not impact the data model ? I'd also question the fact that a 'bug' can just be 'fixed' without any assessment or notification. When fixing a bug, you typically look at the impact of the change to fix it, in this case the impact is large as it drastically changes the model behind how disambiguations work (in fact I 'd even question classifying it as a bug - there was a clear design intent behind how it used to work, which someone in the dbpedia team disagreed with and decided to change, rather than there being an error in the code/implementation). I'm guessing the way it used to work was designed/decided as a result of this feature request/email : the 3.4 release in the bug tracker (I searched for disambiguation). Is this being used by the current development team, is it worth people raising bugs there anymore ? Also, I'm still a little confused by the disambiguation issue, looking at It still appears to have' disambiguates' properties ? I don't know the reasons behind the rewrite (has there been any discussion about it or if it's needed ?) but I always refer people to is touted. I think thats an argument you could level at any open source project at one time or another but other projects do manage to have them, in fact when code fluctuation is high, thats a very good time to have one so that people discuss changes > However, I understand the concern, you have. There should be more public Thanks, I will have a look. Is it mentioned on the main dbpedia site anywhere? I don't recall seeing it before."
